Operation Date;Operation Type;Symbol;Description;Trade Action;Qty;Price;Fees;Net amount;Saldo
2025-02-03T14:56:38.315Z;TRADE;VOO;BUY - VOO;BUY;0,27534;544,7625;0,15;-150,14;0,17
2025-02-03T14:43:26.182Z;TRANSACTION;;DEPOSIT;;0;0;;150;150,31
2025-01-02T15:32:03.896Z;TRADE;VOO;BUY - VOO;BUY;0,48003;539,5475;0;-259,15;0,31
2025-01-02T15:20:12.776Z;TRANSACTION;;DEPOSIT;;0;0;0;250;259,46
2024-12-27T11:49:20.421Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-3,94;9,46
2024-12-27T11:49:20.334Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;13,13;13,4
2024-12-09T15:56:21.399Z;TRADE;VOO;BUY - VOO;BUY;0,18328;556,5225;0,15;-102,15;0,27
2024-12-09T15:48:12.824Z;TRANSACTION;;DEPOSIT;;0;0;0;110;102,42
2024-11-01T13:35:45.810Z;TRADE;VOO;BUY - VOO;BUY;0,22056;525,9175;0,15;-116,15;-7,58
2024-11-01T11:28:23.537Z;TRANSACTION;;DEPOSIT;;0;0;0;100;108,57
2024-10-02T11:45:00.000Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;11,37;8,57
2024-10-02T11:45:00.000Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-3,41;-2,8
2024-10-01T19:52:31.780Z;TRADE;VOO;BUY - VOO;BUY;0,21026;523,1599;0,15;-110,15;0,61
2024-10-01T19:35:05.765Z;TRANSACTION;;DEPOSIT;;0;0;0;110;110,76
2024-09-03T15:15:23.166Z;TRADE;VOO;BUY - VOO;BUY;0,21496;511,6999;0,15;-110,15;0,76
2024-09-02T14:11:06.141Z;TRANSACTION;;DEPOSIT;;0;0;0;110;110,91
2024-08-01T14:08:09.191Z;TRADE;VOO;BUY - VOO;BUY;0,22245;507,9699;0,15;-113,15;0,91
2024-08-01T13:56:55.859Z;TRANSACTION;;DEPOSIT;;0;0;0;104,99;114,06
2024-08-01T11:46:00.059Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-0,16;9,07
2024-08-01T11:46:00.059Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;0,54;9,23
2024-07-25T14:31:34.981Z;TRADE;PLTR;BUY - PLTR;BUY;6,41269;26,5099;0,15;-170,15;8,69
2024-07-19T14:10:26.481Z;TRADE;PLTR;BUY - PLTR;BUY;1,03448;28,9999;0,15;-30,15;178,84
2024-07-19T14:01:26.242Z;TRADE;PLTR;BUY - PLTR;BUY;4,85775;28,8199;0,15;-140,15;208,99
2024-07-18T13:51:32.643Z;TRADE;QQQ;SELL - QQQ;SELL;-0,70451;483,5101;0,11;340,47;349,14
2024-07-03T22:30:35.977Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-3,37;8,67
2024-07-03T22:30:35.977Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;11,22;12,04
2024-07-01T14:18:50.283Z;TRADE;VOO;BUY - VOO;BUY;0,20805;499,8699;0,15;-104,15;0,82
