Statement,Header,Nombre del campo,Valor del campo
Statement,Data,Title,Transaction History
Statement,Data,Period,"Abril 29, 2020 - Diciembre 26, 2025"
Statement,Data,WhenGenerated,"2025-12-28, 15:21:07 EST"
Summary,Header,Nombre del campo,Valor del campo
Summary,Data,Divisa base,USD
Summary,Data,Efectivo inicial,0.0
Summary,Data,Cambio,320.438476139
Summary,Data,Efectivo final,320.438476139
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Gross Amount ,Commission,Net Amount
Transaction History,Data,2021-02-24,U***7847,YATSEN HOLDING LTD-ADR,Buy,YSG,5.0,19.0,-95.0,-0.965,-95.965
Transaction History,Data,2021-02-23,U***7847,TENCENT MUSIC ENTERTAINM-ADR,Sell,TME,-5.0,22.905,114.525,-1.001179078,113.523820922
Transaction History,Data,2021-02-19,U***7847,AYRO INC,Sell,AYRO,-10.0,7.88,78.8,-0.82093148,77.97906852
Transaction History,Data,2021-02-18,U***7847,AGEAGLE AERIAL SYSTEMS INC,Sell,UAVS,-5.0,12.32,61.6,-0.63295636,60.96704364
Transaction History,Data,2021-02-10,U***7847,AGEAGLE AERIAL SYSTEMS INC,Buy,UAVS,5.0,15.28,-76.4,-0.7775,-77.17750000000001
Transaction History,Data,2021-02-10,U***7847,AYRO INC,Buy,AYRO,10.0,7.86,-78.6,-0.816,-79.416
Transaction History,Data,2021-02-05,U***7847,GOPRO INC-CLASS A,Sell,GPRO,-10.0,9.34,93.4,-0.96425414,92.43574586000001
Transaction History,Data,2021-02-03,U***7847,J*****04:US Consolidated Snapshot for Ene 2021,Other Fee,-,-,-,-0.03,-,-0.03
Transaction History,Data,2021-02-03,U***7847,J*****04:US Consolidated Snapshot for Ene 2021,Other Fee,-,-,-,0.03,-,0.03
Transaction History,Data,2021-02-02,U***7847,Balance tarifa mensual mínima para Ene 2021,Other Fee,-,-,-,-19.5,-,-19.5
Transaction History,Data,2021-02-01,U***7847,TATTOOED CHEF INC,Sell,TTCF,-2.0,23.2,46.4,-0.46526344,45.93473656
Transaction History,Data,2021-01-12,U***7847,TATTOOED CHEF INC,Buy,TTCF,2.0,25.2,-50.4,-0.504,-50.903999999999996
Transaction History,Data,2021-01-06,U***7847,J*****04:US Consolidated Snapshot for Dic 2020,Other Fee,-,-,-,-0.18,-,-0.18
Transaction History,Data,2021-01-06,U***7847,J*****04:US Consolidated Snapshot for Dic 2020,Other Fee,-,-,-,0.18,-,0.18
Transaction History,Data,2021-01-05,U***7847,Balance tarifa mensual mínima para Dic 2020,Other Fee,-,-,-,-16.16,-,-16.16
Transaction History,Data,2020-12-30,U***7847,TENCENT MUSIC ENTERTAINM-ADR,Buy,TME,5.0,19.8,-99.0,-0.99,-99.99
